Variables = "x [mm]"	"y [mm]"	"z [mm]"	"x/H"	"y/H"	"z/H"	"U [m/s]"	"W [m/s]"	"Length [m/s]"	"U/U<sub>ref</sub>"	"W/U<sub>ref</sub>"	"Std_U/U<sub>ref</sub>"	"Std_W/U<sub>ref</sub>"	"TKE/U<sub>ref</sub><sup>2</sup>"	"u'w'/U<sub>ref</sub><sup>2</sup> "	"Corr-coeff"	"Skew_U"	"Skew_W"	"Kurt_U"	"Kurt_W"	"Length/U<sub>ref</sub>"	
Zone T = "y=87mm_16x32x32_MovingAvg5x5" I=65 J=40 F=POINT
  50.0000	  87.0000	   2.5000	   1.0870	   1.8913	   0.0543	  -0.0002	  -0.0001	   0.0002	  -0.0000	  -0.0000	   0.0000	   0.0000	   0.0000	   0.0000	  -0.0003	   0.0013	  -0.0004	  -0.0000	  -0.0031	   0.0000	
  52.5000	  87.0000	   2.5000	   1.1413	   1.8913	   0.0543	  -0.0001	  -0.0000	   0.0002	  -0.0000	  -0.0000	   0.0000	   0.0000	   0.0000	   0.0000	  -0.0002	   0.0011	  -0.0003	  -0.0003	  -0.0028	   0.0000	
  55.0000	  87.0000	   2.5000	   1.1957	   1.8913	   0.0543	  -0.0001	  -0.0000	   0.0002	  -0.0000	  -0.0000	   0.0000	   0.0000	   0.0000	   0.0000	  -0.0002	   0.0010	  -0.0002	  -0.0004	  -0.0025	   0.0000	
  57.5000	  87.0000	   2.5000	   1.2500	   1.8913	   0.0543	  -0.0001	  -0.0000	   0.0002	  -0.0000	  -0.0000	   0.0000	   0.0000	   0.0000	   0.0000	  -0.0002	   0.0009	  -0.0002	  -0.0006	  -0.0023	   0.0000	
  60.0000	  87.0000	   2.5000	   1.3043	   1.8913	   0.0543	  -0.0001	  -0.0000	   0.0001	  -0.0000	  -0.0000	   0.0000	   0.0000	   0.0000	   0.0000	  -0.0002	   0.0008	  -0.0001	  -0.0006	  -0.0021	   0.0000	
  62.5000	  87.0000	   2.5000	   1.3587	   1.8913	   0.0543	  -0.0001	  -0.0000	   0.0001	  -0.0000	  -0.0000	   0.0000	   0.0000	   0.0000	   0.0000	  -0.0001	   0.0008	  -0.0001	  -0.0007	  -0.0019	   0.0000	
  65.0000	  87.0000	   2.5000	   1.4130	   1.8913	   0.0543	  -0.0001	  -0.0000	   0.0001	  -0.0000	  -0.0000	   0.0000	   0.0000	   0.0000	   0.0000	  -0.0001	   0.0007	  -0.0001	  -0.0007	  -0.0018	   0.0000	
  67.5000	  87.0000	   2.5000	   1.4674	   1.8913	   0.0543	  -0.0001	  -0.0000	   0.0001	  -0.0000	  -0.0000	   0.0000	   0.0000	   0.0000	   0.0000	  -0.0001	   0.0007	  -0.0001	  -0.0008	  -0.0018	   0.0000	
  70.0000	  87.0000	   2.5000	   1.5217	   1.8913	   0.0543	  -0.0001	  -0.0000	   0.0001	  -0.0000	  -0.0000	   0.0000	   0.0000	   0.0000	   0.0000	  -0.0001	   0.0007	  -0.0001	  -0.0008	  -0.0017	   0.0000	
  72.5000	  87.0000	   2.5000	   1.5761	   1.8913	   0.0543	  -0.0000	  -0.0000	   0.0001	  -0.0000	  -0.0000	   0.0000	   0.0000	   0.0000	   0.0000	  -0.0001	   0.0007	  -0.0001	  -0.0008	  -0.0017	   0.0000	
